Species	Protein ID	Family	Genome/EST	Category
Arabidopsis thaliana	AT4G33280.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT4G34400.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G06250.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G06250.2	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G09780.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G18000.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G18090.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G42700.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G57720.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G58280.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G60130.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G60140.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G60142.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT5G66980.1	ABI3VP1	Genome	TF
Arabidopsis thaliana	AT1G14510.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT2G02470.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT3G11200.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT3G11200.2	Alfin-like	Genome	TF
Arabidopsis thaliana	AT3G42790.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT5G05610.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT5G05610.2	Alfin-like	Genome	TF
Arabidopsis thaliana	AT5G20510.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT5G26210.1	Alfin-like	Genome	TF
Arabidopsis thaliana	AT1G01250.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G03800.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G04370.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G06160.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G12610.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G12630.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G12890.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G12980.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G13260.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G15360.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G16060.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G16060.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G19210.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G21910.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G22190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G22810.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G22985.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G24590.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G25470.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G25470.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G25560.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G28160.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G28360.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G28370.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G33760.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G36060.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G43160.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G44830.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G46768.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G49120.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G50640.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G50680.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G51120.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G51190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G53170.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G53910.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G53910.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G53910.3	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G63030.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G63030.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G64380.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G68550.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G68550.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G68840.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G71130.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G71450.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G71520.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G72360.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G72360.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G72360.3	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G72570.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G74930.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G75490.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G77200.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G77640.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G78080.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G79700.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G79700.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G80580.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G20350.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G20880.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G22200.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G23340.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G25820.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G28550.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G28550.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G31230.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G33710.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G35700.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G36450.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G38340.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G39250.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G40220.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G40340.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G40350.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G41710.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G41710.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G44840.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G44940.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G46310.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT2G47520.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G11020.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G14230.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G14230.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G14230.3	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G15210.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G16280.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G16770.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G20310.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G20840.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G23220.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G23230.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G23240.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G25730.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G25890.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G25890.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G50260.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G54320.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G54320.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G54320.3	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G54990.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G54990.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G57600.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G60490.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT3G61630.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G06746.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G11140.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G13040.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G13040.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G13620.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G16750.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G17490.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G17500.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G18450.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G23750.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G23750.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G25470.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G25480.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G25490.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G27950.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G28140.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G31060.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G32800.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G34410.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G36900.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G36920.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G37750.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT4G39780.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G05410.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G05410.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G07310.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G07580.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G10510.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G10510.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G11190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G11590.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G13330.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G13910.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G17430.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G18450.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G18560.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G19790.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G21960.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G25190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G25390.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G25390.2	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G25810.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G43410.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G44210.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G47220.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G47230.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G50080.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G51190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G51990.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G52020.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G53290.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G57390.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G60120.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G61590.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G61600.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G61890.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G64750.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G65130.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G65510.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G67000.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G67010.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G67180.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT5G67190.1	AP2-EREBP	Genome	TF
Arabidopsis thaliana	AT1G19220.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G19850.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G30330.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G30330.2	ARF	Genome	TF
Arabidopsis thaliana	AT1G34170.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G34170.2	ARF	Genome	TF
Arabidopsis thaliana	AT1G34310.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G34390.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G34410.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G35240.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G35520.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G35540.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G59750.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G59750.2	ARF	Genome	TF
Arabidopsis thaliana	AT1G59750.3	ARF	Genome	TF
Arabidopsis thaliana	AT1G77850.1	ARF	Genome	TF
Arabidopsis thaliana	AT2G28350.1	ARF	Genome	TF
Arabidopsis thaliana	AT2G33860.1	ARF	Genome	TF
Arabidopsis thaliana	AT2G46530.1	ARF	Genome	TF
Arabidopsis thaliana	AT2G46530.2	ARF	Genome	TF
Arabidopsis thaliana	AT2G46530.3	ARF	Genome	TF
Arabidopsis thaliana	AT3G61830.1	ARF	Genome	TF
Arabidopsis thaliana	AT4G23980.1	ARF	Genome	TF
Arabidopsis thaliana	AT4G23980.2	ARF	Genome	TF
Arabidopsis thaliana	AT4G30080.1	ARF	Genome	TF
Arabidopsis thaliana	AT5G20730.1	ARF	Genome	TF
Arabidopsis thaliana	AT5G20730.2	ARF	Genome	TF
Arabidopsis thaliana	AT5G20730.3	ARF	Genome	TF
Arabidopsis thaliana	AT5G37020.1	ARF	Genome	TF
Arabidopsis thaliana	AT5G37020.2	ARF	Genome	TF
Arabidopsis thaliana	AT5G60450.1	ARF	Genome	TF
Arabidopsis thaliana	AT5G62000.1	ARF	Genome	TF
Arabidopsis thaliana	AT5G62000.2	ARF	Genome	TF
Arabidopsis thaliana	AT5G62000.3	ARF	Genome	TF
Arabidopsis thaliana	ATMG00940.1	ARF	Genome	TF
Arabidopsis thaliana	AT1G49190.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT1G67710.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT2G01760.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT2G25180.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT2G27070.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT3G16857.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT3G16857.2	ARR-B	Genome	TF
Arabidopsis thaliana	AT3G62670.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G16110.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G18020.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G18020.2	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G18020.3	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G18020.4	ARR-B	Genome	TF
Arabidopsis thaliana	AT4G31920.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT5G07210.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT5G49240.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT5G58080.1	ARR-B	Genome	TF
Arabidopsis thaliana	AT1G14685.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT1G14685.2	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT1G14685.3	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT1G68120.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G01930.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G01930.2	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G21240.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G21240.2	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G35550.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G35550.2	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G35550.3	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT2G35550.4	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT4G38910.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT5G42520.1	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT5G42520.2	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT5G42520.3	BBR/BPC	Genome	TF
Arabidopsis thaliana	AT1G19350.1	BES1	Genome	TF
Arabidopsis thaliana	AT1G19350.3	BES1	Genome	TF
Arabidopsis thaliana	AT1G19350.4	BES1	Genome	TF
Arabidopsis thaliana	AT1G19350.5	BES1	Genome	TF
Arabidopsis thaliana	AT1G19350.6	BES1	Genome	TF
Arabidopsis thaliana	AT1G75080.1	BES1	Genome	TF
Arabidopsis thaliana	AT1G75080.2	BES1	Genome	TF
Arabidopsis thaliana	AT1G78700.1	BES1	Genome	TF
Arabidopsis thaliana	AT2G45880.1	BES1	Genome	TF
Arabidopsis thaliana	AT3G50750.1	BES1	Genome	TF
Arabidopsis thaliana	AT4G18890.1	BES1	Genome	TF
Arabidopsis thaliana	AT4G36780.1	BES1	Genome	TF
Arabidopsis thaliana	AT5G45300.1	BES1	Genome	TF
Arabidopsis thaliana	AT5G45300.2	BES1	Genome	TF
Arabidopsis thaliana	AT1G01260.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G01260.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G02340.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G03040.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G05805.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G06170.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G06170.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G09530.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G09530.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G10120.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G10585.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G10586.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G10610.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G12540.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G12860.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G18400.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G22490.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G25310.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G25330.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G26260.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G26260.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G26260.3	bHLH	Genome	TF
Arabidopsis thaliana	AT1G27740.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G30670.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G32640.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G35460.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G49770.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G51070.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G51140.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G59640.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G59640.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G61660.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G61660.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G62975.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G63650.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G63650.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G66470.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68240.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68240.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68810.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68920.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68920.2	bHLH	Genome	TF
Arabidopsis thaliana	AT1G68920.3	bHLH	Genome	TF
Arabidopsis thaliana	AT1G69010.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G71200.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G72210.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G73830.1	bHLH	Genome	TF
Arabidopsis thaliana	AT1G74500.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G14760.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G16910.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G18300.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G18300.2	bHLH	Genome	TF
Arabidopsis thaliana	AT2G20180.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G20180.2	bHLH	Genome	TF
Arabidopsis thaliana	AT2G22750.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G22750.2	bHLH	Genome	TF
Arabidopsis thaliana	AT2G22760.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G22770.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G24260.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G28160.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G31210.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G31215.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G31220.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G34820.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G40200.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G41130.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G41240.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G41240.2	bHLH	Genome	TF
Arabidopsis thaliana	AT2G42280.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G42300.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G43010.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G43010.2	bHLH	Genome	TF
Arabidopsis thaliana	AT2G43140.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G46510.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G46810.1	bHLH	Genome	TF
Arabidopsis thaliana	AT2G46970.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G06120.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G07340.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G19860.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G19860.2	bHLH	Genome	TF
Arabidopsis thaliana	AT3G21330.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G22100.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G23210.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G23690.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G24140.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G25710.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G26744.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G26744.2	bHLH	Genome	TF
Arabidopsis thaliana	AT3G26744.4	bHLH	Genome	TF
Arabidopsis thaliana	AT3G47640.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G50330.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G56770.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G56970.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G56980.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G57800.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G57800.2	bHLH	Genome	TF
Arabidopsis thaliana	AT3G59060.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G59060.2	bHLH	Genome	TF
Arabidopsis thaliana	AT3G59060.3	bHLH	Genome	TF
Arabidopsis thaliana	AT3G59060.4	bHLH	Genome	TF
Arabidopsis thaliana	AT3G61950.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G61950.2	bHLH	Genome	TF
Arabidopsis thaliana	AT3G62090.1	bHLH	Genome	TF
Arabidopsis thaliana	AT3G62090.2	bHLH	Genome	TF
Arabidopsis thaliana	AT4G00050.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G00120.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G00480.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G00870.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G01460.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G02590.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G02590.2	bHLH	Genome	TF
Arabidopsis thaliana	AT4G02590.3	bHLH	Genome	TF
Arabidopsis thaliana	AT4G05170.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G09180.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G09820.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G14410.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G14410.2	bHLH	Genome	TF
Arabidopsis thaliana	AT4G16430.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G17880.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G20970.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G21330.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G25400.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G25410.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G28790.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G28790.2	bHLH	Genome	TF
Arabidopsis thaliana	AT4G28800.1	bHLH	Genome	TF
Arabidopsis thaliana	AT4G28811.1	bHLH	Genome	TF
